Cluster,Run_ID,Criterion_Row,Criterion_Column,Direction,Base_IOI,Perturbed_IOI,Site_ID,Site,Excluded_Criteria,Baseline_Applicable_Weight_Sum,Alternative_Applicable_Weight_Sum,Baseline_WLC,Alternative_WLC,Baseline_Class,Alternative_Class,Class_Changed
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0196,Kamen mogila,,1.0,1.0,5.28839521583568,5.431654462543202,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0197,Kota 255,,1.0,1.0,4.106671954472856,4.17685185223896,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0198,Prehistoric Wide Mound,,1.0,1.0,4.968410992568899,5.034900679748241,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0199,Roman Karanovo mound,,1.0,1.0,4.452893231824792,4.523073129590896,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0200,Tell Karanovo,Soil Erosion,0.9119060157463934,0.912828568393084,4.421904089698162,4.499370137679851,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0201,Boz Bair,,1.0,1.0,4.616627116476935,4.765421679064601,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0202,Boz Bair mound I,,1.0,1.0,4.969003053491361,5.114107405492265,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0203,Boz Bair mound II,,1.0,1.0,5.216793118917128,5.36005236562465,Moderate,Moderate,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0204,Tuida Fortress,,1.0,1.0,2.85964602038406,2.779977009680566,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0205,Sokol Himitliyata,,1.0,1.0,3.781125132466047,3.856840346112295,Low,Low,False
1,C1_R01,Seismic,Wildfire,down,1,1/2,SITE_0206,Staro Selo Mogila,,1.0,1.0,5.3929810874243405,5.534395228838482,Moderate,Moderate,False
