Site_ID,Site,Cluster_3,SEIS_SCR,FWI_SCR,FLOOD_SCR,RUSLE_SCR,ELSUS_SCR,ASSET_SCR,Rusle_MTH,ELSUS_MTH,Material_general,WLC_RISK2
SITE_0144,Tatarsko Kale,2,3,1,1,1,7,1,Direct,Direct,Mortared stone masonry,4.090776
SITE_0145,Emporion Pistiros,1,9,1,9,3,1,1,Direct,Direct,Mortared stone masonry,3.772109
SITE_0146,Zhaba Mogila,1,5,1,1,5,3,7,Direct,Direct,Earthwork (earthen burial mound),3.793579
SITE_0147,Lyubnishko Kale,2,9,1,1,1,7,1,Direct,Direct,Mortared stone masonry,5.695841
SITE_0148,Bona Mansio,1,9,1,1,3,1,1,Direct,Direct,Mortared stone masonry,3.527036
SITE_0149,Tell Yunatsite,1,9,3,3,5,1,9,Direct,Direct,Earthwork / earthen architecture,5.709523
SITE_0150,Anevo Kale,2,3,1,1,1,7,1,Direct,Direct,Mortared stone masonry,4.090776
SITE_0151,Asenova Fortress,3,9,1,7,5,7,1,Direct,Direct,Mortared stone masonry,6.190361
SITE_0152,Bachkovo Monastery,1,7,1,7,7,7,3,Direct,Direct,Mortared mixed masonry (stone + brick),4.558205
SITE_0153,Church of St. George Metokha,1,9,1,7,,5,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick),4.695077
SITE_0154,Church of the Holy Virgin of Petrich,3,9,1,7,5,7,3,Direct,Direct,Mortared mixed masonry (stone + brick),6.319627
SITE_0155,Stanimaka Fortress ruins,1,9,1,5,,3,1,Urban excl.,Direct,Mortared stone masonry,3.984051
SITE_0156,Golyama Dragoyna,2,9,5,1,1,7,7,Direct,Direct,Earthwork / early stone construction,6.783614
SITE_0157,Monastery of St. Cyril and St. Yulita,2,9,1,1,1,5,3,Direct,Direct,Mortared mixed masonry (stone + brick),5.008253
SITE_0158,Diocletionopolis,3,5,1,1,,1,1,Urban excl.,Direct,Mortared stone masonry,1.988379
SITE_0159,Hisarya Basilica 1,1,5,1,1,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick),2.661085
SITE_0160,Hisarya Basilica 3,1,5,1,1,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick),2.661085
SITE_0161,Hisarya Basilica 8,1,5,1,1,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick),2.661085
SITE_0162,Hisarya Fortress walls,1,5,1,1,,1,1,Urban excl.,Direct,Mortared stone masonry,2.288975
SITE_0163,Hisarya Roman Baths,3,5,1,1,,1,1,Urban excl.,Direct,Mortared stone masonry,1.988379
SITE_0164,Stone of Tsar Asen,3,7,1,5,1,5,1,Direct,Direct,Mortared stone masonry,4.319627
SITE_0165,Monastery of Saints Cosmas and Damian,3,9,1,1,5,7,3,Direct,Direct,Mortared mixed masonry (stone + brick),6.090610
SITE_0166,Maltepe,1,9,3,5,1,1,7,Direct,Direct,Earthwork (earthen burial mound),5.079086
SITE_0167,Red Church,1,9,1,1,5,1,3,Direct,Direct,Mortared mixed masonry (stone + brick),4.042553
SITE_0168,Ancient Theatre of Philippopolis,3,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry,3.545834
SITE_0169,Domus Eirene,1,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry,4.934111
SITE_0170,East Gate Philippopolis,1,9,5,5,,1,1,Urban excl.,Direct,Mortared stone masonry,5.001299
SITE_0171,Episcopal Great Basilica,1,9,5,1,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick),5.239035
SITE_0172,Hellenistic buildings,1,9,5,1,,1,7,Urban excl.,Direct,Earthwork / early stone construction,5.983256
SITE_0173,Hisarya Kapia,1,9,5,5,,1,1,Urban excl.,Direct,Mortared stone masonry,5.001299
SITE_0174,Inner Fortress wall of Philippopolis,3,9,5,5,,1,1,Urban excl.,Direct,Mortared stone masonry,3.631401
SITE_0175,Minor Basilica,1,9,5,3,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick),5.306222
SITE_0176,Nebet Tepe,1,9,5,5,,1,1,Urban excl.,Direct,Mortared stone masonry,5.001299
SITE_0177,Outer Fortress wall of Philippopolis,1,9,5,5,,1,1,Urban excl.,Direct,Mortared stone masonry,5.001299
SITE_0178,Peristyle building and street intersection,1,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry,4.934111
