Site_ID,Site,WLC_RISK,GiZScore,GiPValue,NNeighbors,Gi_Bin,gi_class
SITE_0047,Necropolis of Apollonia I,3.304274,-2.989955,0.002790183121,9,-3,Cold spot with 99% confidence
SITE_0048,Necropolis of Apollonia II,3.576002,-3.280304,0.001036952173,9,-3,Cold spot with 99% confidence
SITE_0049,Necropolis of Apollonia III,3.576002,-3.280304,0.001036952173,9,-3,Cold spot with 99% confidence
SITE_0050,Sozopolis Southern Complex,2.176432,-4.109143,0.000039712956,9,-3,Cold spot with 99% confidence
SITE_0051,Sozopolis Southern Fortification,2.459670,-4.083328,0.000044395277,9,-3,Cold spot with 99% confidence
SITE_0052,St. Marina Oikos,3.440611,-3.311400,0.000928304554,9,-3,Cold spot with 99% confidence
SITE_0053,Via sacra,2.187943,-3.311400,0.000928304554,9,-3,Cold spot with 99% confidence
SITE_0054,Aquae Calidae,2.832430,-4.339815,0.000014260243,9,-3,Cold spot with 99% confidence
SITE_0055,Alexandrovo Tomb,6.131973,4.093318,0.000042524378,9,3,Hot spot with 99% confidence
SITE_0056,Asara Shrine and Fortress,4.270406,2.328760,0.019871787958,9,2,Hot spot with 95% confidence
SITE_0057,Dolmen Slavova Koriya,5.557307,2.250248,0.024433188530,9,2,Hot spot with 95% confidence
SITE_0058,Dolmen Gaidarov dolap,5.805097,2.126483,0.033463046792,9,2,Hot spot with 95% confidence
SITE_0059,Deaf Stones,7.530967,3.848943,0.000118628722,9,3,Hot spot with 99% confidence
SITE_0060,Cromlech,6.288223,2.771655,0.005577204187,9,3,Hot spot with 99% confidence
SITE_0061,Mound Dolno Botevo,6.732139,3.790379,0.000150417444,9,3,Hot spot with 99% confidence
SITE_0062,Kovan Kaya,4.987546,2.547768,0.010841440433,9,2,Hot spot with 95% confidence
SITE_0063,Kovan Kaya niches I,5.404898,2.547768,0.010841440433,9,2,Hot spot with 95% confidence
SITE_0064,Gledka mound I,6.732139,4.059398,0.000049199449,9,3,Hot spot with 99% confidence
SITE_0065,Gledka mound II,6.732139,4.059398,0.000049199449,9,3,Hot spot with 99% confidence
SITE_0066,Furnadzhika,5.827131,3.433065,0.000596799525,9,3,Hot spot with 99% confidence
SITE_0067,Dolmen Gorno Voyvodino,6.392809,3.869255,0.000109168625,9,3,Hot spot with 99% confidence
SITE_0068,Dolmen Nachovi chairi,4.969595,2.126483,0.033463046792,9,2,Hot spot with 95% confidence
SITE_0069,Rodostitsa Fortress,5.732100,3.452313,0.000555801605,9,3,Hot spot with 99% confidence
SITE_0070,Villa Armira,4.774062,2.533891,0.011280381232,9,2,Hot spot with 95% confidence
SITE_0071,Castra Rubra,5.290171,2.572026,0.010110539797,9,2,Hot spot with 95% confidence
