Site_ID,Site,C_DEM,C_Slope,C_Acos,C_Asin,C_RusLog,C_FlDist,C_x,C_y,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
SITE_0090,Dolmen Kapakliyka II,-0.245876117879,-0.860289625983,0.688254301416,-1.09115620227,0.134478169709,-0.0485740378467,0.0152687825147,-0.0448003640112,1,1,2,2,2
SITE_0091,Mehir Stone Chuchul,-0.265960618894,-0.779575946183,0.431298363843,-0.953481767492,-0.18710981806,-0.0727427384836,0.0062051619909,-0.0308283519502,1,1,2,2,2
SITE_0092,Ak Kaya,-0.404652642988,2.00031581828,-0.72732899202,-0.523236761356,4.60095351286,-0.842096571301,-0.0136931522147,-0.102720403564,3,4,5,6,7
SITE_0093,Kara inn,-0.410586903805,2.408322532,-0.944487544437,0.335377063536,3.46479857207,-0.843057601945,-0.0136389453491,-0.102729527352,3,4,5,6,7
SITE_0094,Dolmen Plevun,0.111881689569,-0.494253428008,0.358345079722,1.28501876459,1.59487679974,0.0205769033684,0.00692111008452,-0.136714499177,1,1,1,1,1
SITE_0095,Kovan Kaya niches II,-0.325648844691,0.271301833955,-0.113696502598,-0.175374464891,-1.16042167373,-0.811998316284,-0.0123911250664,-0.103925234598,2,2,3,4,5
SITE_0096,Efraim Fortress,0.0450628895628,1.15780056691,-0.427613745053,-0.749192063643,1.36436563713,-0.82790982274,-0.0166196581539,-0.104508250118,3,3,4,5,6
SITE_0097,Dolmen Bakalov kladenets,0.5737236509,-0.887287762187,0.264302304227,0.402874061404,-1.16766621793,0.164680539058,0.0273541151172,-0.0276841218594,1,1,2,2,2
SITE_0098,Dolmen Byalata treva,0.376465376178,-0.783531612165,0.40011454986,-1.02569690556,-0.011650999109,0.751292236364,0.0225869152293,-0.0290172634592,1,1,2,2,2
SITE_0099,Dolmen Kapakliyka I,0.428843484898,-0.894874174484,0.636978101613,1.17874682144,-1.21929927898,0.46301926953,0.0249250810283,-0.0280343838406,1,1,2,2,2
SITE_0100,Dolmen Kliftinova niva,0.39323753656,-0.741468540504,1.06658560526,0.667040734963,-1.17032952825,0.380245906639,0.0255948037566,-0.0281171087962,1,1,2,2,2
SITE_0101,Dolmen Paskalevi kelemeta,0.400568119415,-0.849835622302,0.101002347369,1.26360456391,-1.22798866309,0.12489265034,0.0277202824003,-0.026754958141,1,1,2,2,2
SITE_0102,Dolmen Sakartsi,0.511455155413,-0.328686153272,1.01073747395,-0.890974848199,-1.17489946572,0.164725118116,0.0273704949013,-0.0272561848928,2,2,3,4,5
SITE_0103,Burdenis Fortress,-0.842046219494,-0.827768328504,-0.678378043497,-0.698680943977,-0.0418952591718,-0.869966459976,0.0189907211708,-0.0753498237421,1,1,2,2,2
SITE_0104,Svilengrad mound necropolis,-0.821587271429,-0.808106180471,-0.800928801858,0.19476104642,-0.641731692711,-0.821349512813,0.0145919032213,-0.0748331115491,1,1,2,2,2
SITE_0105,Svirachi Golyamata Mogila,-0.109047006803,-0.289024303629,-0.269007373044,0.623891330111,0.115157174715,-0.348268628642,0.013632967732,-0.131019889291,1,1,2,2,2
SITE_0106,Paleokastro Fortress,0.283512113196,-0.466508304939,-0.193985000429,0.171351022334,-1.1094519992,0.453215255352,0.0259605715991,-0.0183682109766,2,2,3,4,5
SITE_0107,Paparimsko Kale,1.63110153834,-0.944522851431,0.58432391403,-0.574753734408,-1.18690951445,0.201116364152,0.0274510010689,-0.0348073040909,2,2,3,4,5
SITE_0108,Holy Trinity Monastery,-0.674953758612,-0.734420099003,-0.711777374657,-0.0942719927414,0.549015494393,-0.655114896968,0.0341610360357,-0.0271997639976,1,1,2,2,2
SITE_0109,Orlovi Skali,1.34059753652,1.45624824233,-0.103737989387,-1.1186118204,-0.218997004105,-0.246689988918,-0.0494509508415,-0.112760770114,3,3,4,5,6
SITE_0110,Dupchen Kamak,0.220412237417,-0.13506837105,-0.742062480688,0.779216533355,1.28734447746,-0.0251257347902,-0.0419428059107,-0.146595699071,1,1,1,1,1
SITE_0111,Hambar Dere Necropolis,-0.117301377491,0.56025404098,1.16332862412,0.816929794485,-1.17754584636,0.606291670024,-0.000953676853891,-0.143538734062,1,1,2,2,3
SITE_0112,Chernichino mound,0.688507811975,0.0449160869078,-0.511602290332,-0.513669965531,-1.2133612062,-0.322004477644,-0.00609788227148,-0.109032279315,2,2,3,4,5
SITE_0113,Patmos Fortress,0.307226533873,-0.583360671095,0.958126785538,0.572574665629,3.12983593873,-0.856787258253,-0.0437593448281,-0.0911864633305,1,1,1,1,1
SITE_0114,Duzhdovnitsa niches,0.686459508725,2.8218661262,-0.119822247475,1.25079995845,4.28203085413,-0.598955818382,-0.0400125148668,-0.089735187803,3,4,5,6,7
SITE_0115,Perperikon,0.469221937631,-0.18193928538,-0.942252124505,0.189631494006,-0.971021027347,-0.0775448884826,-0.0285143856011,-0.0854636700361,2,2,3,4,5
SITE_0116,Church of St. John Prodomus,-0.310854867107,-0.562974271669,0.605361519283,-0.568881027451,0.0,-0.868044398688,-0.0348092319911,-0.102042467653,1,1,2,2,2
SITE_0117,Necropolis of St. John Prodomus,-0.310540163832,-0.740924280581,1.07276047946,-0.229802959007,-1.15165577679,-0.865161306756,-0.0347893890668,-0.102012569347,1,1,2,2,2
SITE_0118,Toplitsa,-0.139285361521,-0.669214821586,-0.680582981733,0.617694058798,0.724322564954,0.771478009316,-0.0357219984224,-0.0428096904543,1,1,2,2,2
SITE_0119,Moryantsi tomb,-0.297176202528,-0.0419849527487,-0.512749621333,-0.953324189417,0.557262473385,-0.771739531935,-0.0138140830715,-0.110744671374,1,1,2,2,2
SITE_0120,Sivri Kaya niches,1.1771178606,3.34165121648,-0.940429462586,0.298299699657,5.02316638103,0.150374790808,-0.0512006946056,-0.0721463135156,3,4,5,6,7
SITE_0121,Arkata,-0.221814977207,2.73786164687,0.858495177812,-0.995348657736,-1.14022328957,-0.854589969673,-0.0121986765429,-0.106049859313,3,3,4,5,6
SITE_0122,Gouk in cave,-0.462481981821,1.52954450925,0.632017259538,-0.949335260127,-1.23788240718,-0.827224686609,-0.0122507376599,-0.106735841164,3,3,4,5,6
SITE_0123,Pop Martinova Dypka,-0.0454569109375,2.74913176216,1.31961458606,-0.396283932803,-1.01661596589,-0.847166666369,-0.0116556009643,-0.105485967186,3,3,4,5,6
SITE_0124,Ada Tepe,0.421193597564,0.697143286949,0.0752376408505,-1.17262459177,-1.01201499792,-0.147723588153,-0.0166880060389,-0.138285349732,2,2,3,4,5
SITE_0125,Redestyuk Fortress,-0.0444832767129,0.564841318962,-0.570824709422,-0.867629828817,-1.24672079547,-0.00343844530826,-0.018362672636,-0.14193157134,2,2,3,4,5
SITE_0126,Tatul,0.175643563768,0.440856582072,-0.372843625783,-0.48783233388,-1.13556288879,-0.288501907654,-0.0235811928928,-0.11849227854,2,2,3,4,5
SITE_0127,Ustra,1.95019014499,2.03667231435,-0.590918529674,0.88265611931,-1.23068489803,0.190415231621,-0.0444426958983,-0.131145050321,2,2,3,4,5
SITE_0128,Vishegrad Fortress,-0.125617768593,-0.626298710571,-0.575086624161,-0.410188623635,3.31501409241,-0.858958923407,-0.0323649896082,-0.10406485628,1,1,1,1,1
SITE_0129,Hambar Kaya,1.00026784879,0.91612177833,0.795680150284,1.05565105737,-1.12504852014,0.124823951665,-0.0436735804489,-0.130016342463,2,2,3,4,5
SITE_0130,Asar Kaya niches,1.35025450797,1.70999703408,0.958414317574,0.923740066921,1.14964951931,-0.0692993581783,-0.0467657883388,-0.0756699877653,3,3,4,5,6
SITE_0131,Mal Asar,0.888431334898,0.986137235966,-0.202960998957,0.0745135416587,-1.1947700491,0.0863380529987,-0.0432861380574,-0.129793885966,2,2,3,4,5
SITE_0132,Sredna Arda Rock cut niches,-0.253158963228,2.4800519715,-0.917390321655,-0.356428974231,0.661843807219,-0.865161306756,-0.0256781305144,-0.100226640234,3,3,4,5,6
SITE_0133,Shan Kaya,0.227889196117,2.40829603975,-0.776067429338,-0.650570903361,-1.04382299179,-0.468471554223,-0.0115450624833,-0.113421833564,3,3,4,5,6
SITE_0134,Belovo Basilica,1.43293414213,-0.741759788298,0.499151997629,-0.412740571322,-1.23651823611,-0.469043620853,-0.122087526174,0.0076002400109,2,2,3,4,5
SITE_0135,St. Spas Basilica,1.46727734717,1.17847120147,1.39851828256,0.215577563662,-1.21911409048,-0.461699572956,-0.122101492983,0.00747788771279,2,2,3,4,5
SITE_0136,Roman bridge Bratsigovo,0.795042395284,0.38682441155,0.824689400144,-0.410800119523,-1.07961353123,-0.25927390624,-0.0972357292207,-0.0251354141063,2,2,3,4,5
SITE_0137,Dzhenevra,4.14485754556,0.249737030259,1.40852158593,0.0748845098337,-1.20594632989,0.779032235741,-0.109408272541,-0.0726288049547,2,2,3,3,4
SITE_0138,Pashino Bardo,4.0091557298,0.00418914859037,1.22020223137,-0.4623617347,-1.21497533738,0.488702719639,-0.117135826287,-0.0385138301139,2,2,3,3,4
SITE_0139,Tsepina,2.28079269288,-0.185667791441,-0.926779687828,-0.112077818561,-1.05794946284,-0.627828477777,-0.114228689248,-0.010704008161,2,2,3,4,5
SITE_0140,Church of St. Dimitar,0.174836435662,-0.301583522947,1.35394077592,0.35059815351,0.0,-0.336935693544,-0.109199939334,-0.00449142133562,1,1,2,2,2
SITE_0141,Peristera Fortress,0.492074782605,-0.357147290648,0.511118465604,0.324785541688,0.0,0.310033233033,-0.102756757013,-0.0203773218987,1,1,2,2,2
SITE_0142,Kulata Gradot,2.02835599669,0.271142101265,1.17955930193,0.704692824014,-1.10780483003,-0.164336513829,-0.118197941561,-0.0262602994966,2,2,3,4,5
SITE_0143,The tower Kalinkata,2.5941340106,-0.707067461973,0.94754167626,0.0993072607319,-1.17436293916,0.324455449939,-0.114702422151,-0.0308680337123,2,2,3,3,4
SITE_0144,Tatarsko Kale,1.61486656868,0.809207290033,-0.955626488183,-0.0970769030909,-0.945435476068,1.13546198387,-0.104332749587,0.0819126797986,2,2,3,4,5
SITE_0145,Emporion Pistiros,-0.263952767908,-1.01282907188,1.30793421569,0.31665758287,-0.0923294352326,-0.87092749062,-0.115992505747,0.0192233265441,1,1,2,2,2
